Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England NW and N Wales
Areal series, starting in 1836
Last updated 01-May-2025 11:46
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  108.5   82.7  161.5   88.6    4.6  133.3  153.7   86.8  130.0  106.8  195.2  157.6     ---   254.7   373.8   432.1  1409.3
1837   96.9  131.3   51.9   50.9   47.2   79.8   93.4   96.5  100.5  152.9  147.9  130.6   385.8   150.0   269.7   401.3  1179.9
1838   24.4   39.3   73.6   79.0   86.6  150.8  109.4  166.0   53.1  168.8  144.6   77.8   194.4   239.2   426.2   366.5  1173.4
1839  101.3   94.1  106.1   37.6   20.5   93.9  186.7  129.9  200.0   86.6  123.2   92.1   273.2   164.2   410.5   409.8  1272.0
1840  143.8   83.3   11.9   30.0   90.2  107.6  157.6  140.0  134.5   72.6  157.0   22.1   319.2   132.1   405.2   364.2  1150.7
1841   87.2   69.0  100.7   64.6  100.2   83.8  132.6  163.2  139.6  182.6  123.5  176.1   178.3   265.4   379.6   445.8  1423.1
1842   86.7   56.2  132.5   12.4   78.4   85.0  119.3   57.3   73.5   70.5  167.7  100.4   319.0   223.3   261.6   311.7  1039.9
1843  111.4   41.3   42.2  157.9   89.5   93.8  125.9  107.4   20.8  232.4  164.2   38.9   253.2   289.6   327.1   417.5  1225.9
1844   89.7   93.8  106.1   42.7    5.2   58.6   94.0  113.8  107.8  109.3   71.4   16.1   222.3   154.0   266.4   288.5   908.4
1845  107.6   40.3   79.7   77.6   50.2   98.0  100.0  175.1   98.7  108.3  109.3  182.5   164.0   207.5   373.2   316.3  1227.4
1846  120.2   61.2  112.9  125.1   41.6   89.1  141.8  138.6   54.4  187.2   92.5   58.1   363.9   279.6   369.5   334.1  1222.8
1847   73.2   76.3   52.3   67.4  107.6   82.2   39.7   82.3  123.9  158.4  142.0  194.3   207.6   227.3   204.1   424.3  1199.5
1848   71.1  203.8  114.4   68.7   43.8  137.4  111.3  162.1   95.7  152.4  104.8  131.3   469.2   226.9   410.8   352.9  1396.9
1849  158.3   58.3   33.9   71.3   72.2   35.9  125.8  118.3  118.0  150.4  127.1   97.0   348.0   177.3   280.1   395.5  1166.6
1850   82.4  112.0   38.9  104.4   66.0   65.5  113.7  132.7   67.1   95.9  147.8   94.5   291.4   209.3   311.9   310.8  1120.8
1851  194.5   76.3  119.0   52.2   45.2  119.1  101.1  104.7   63.7  130.3   67.6   55.6   365.3   216.4   324.8   261.6  1129.3
1852  196.4  146.5   16.4   18.9   84.8  119.4   98.3  159.8  130.6  122.0  206.5  242.3   398.5   120.1   377.5   459.1  1542.0
1853  147.0   34.0   49.1   83.8   31.3  102.1  148.4   87.7   81.1  130.3   85.0   32.2   423.3   164.1   338.1   296.5  1011.9
1854  105.9   65.7   50.0   24.4   74.1   96.0   82.4  104.8   71.2   99.5  103.5  151.1   203.8   148.6   283.2   274.2  1028.6
1855   19.8   33.8   76.4   32.7   52.0  107.8  135.7   93.2   39.1  171.8   48.3   58.3   204.6   161.1   336.7   259.2   868.8
1856   94.5   93.2   21.9   70.7   72.7   94.1   87.0  120.0  126.0   78.7   65.4  141.0   246.0   165.3   301.2   270.1  1065.2
1857   94.4   79.1   98.1   83.0   65.6  101.0   90.8  116.7   88.9   72.6   63.7   87.8   314.5   246.6   308.5   225.2  1041.6
1858   61.3   18.5   63.7   93.8   83.0   67.0   81.7   87.4  133.1  140.7   52.8  122.0   167.6   240.5   236.1   326.6  1005.0
1859  109.4   86.1  149.6  108.6   16.2   62.2   83.6  127.1  151.9  109.1  112.3  118.3   317.5   274.3   273.0   373.3  1234.5
1860  146.6   51.6  126.6   51.8   92.9  165.7   57.5  179.6   70.7  169.8   72.3   98.6   316.5   271.2   402.8   312.8  1283.6
1861   49.2  122.6  146.2   31.2   32.3   78.2  138.7  141.0  144.5   73.1  199.9   87.8   270.4   209.7   357.9   417.5  1244.8
1862  115.0   29.0  112.2  115.2  112.8  109.0  131.1  100.3   93.8  199.1   56.6  144.1   231.8   340.1   340.4   349.5  1318.1
1863  160.2   56.1   42.7   66.0   69.9  113.2   42.9  126.0  182.4  182.7  136.6   98.4   360.5   178.6   282.1   501.7  1277.2
1864   80.6   77.5   97.7   50.2   65.9   96.5   53.0   74.5  133.7   84.6  121.9   96.9   256.4   213.7   224.1   340.2  1033.0
1865   98.1   85.9   57.7   33.9  135.6   30.7   72.3  147.5   28.3  139.7  117.9   75.4   281.0   227.2   250.4   285.9  1023.0
1866  176.9  128.7   82.8   40.6   47.3  110.4   83.8  134.0  208.8   69.3  162.3  140.1   381.0   170.7   328.2   440.4  1385.0
1867  135.4   92.7   65.6  139.6   62.7   37.8  124.3   71.3  101.4  143.7   39.1  109.9   368.2   268.0   233.4   284.2  1123.6
1868  129.5  108.9  144.1   73.6   54.2   17.2   21.5  114.3   68.4  142.5   88.2  258.5   348.3   271.8   153.0   299.1  1220.8
1869  147.3  159.2   45.7   75.7   91.8   39.0   39.1   64.9  230.4  100.0  146.2  145.2   564.9   213.2   143.0   476.7  1284.5
1870  107.0   79.2   72.1   54.7   69.1   48.7   34.9   64.0   88.7  250.7  110.6   86.1   331.4   195.9   147.6   449.9  1065.7
1871   76.6  105.8   65.4   88.2   40.5   71.4  141.9   73.2  108.8  151.2   53.8  112.4   268.5   194.1   286.6   313.7  1089.1
1872  194.3  126.9  112.9   77.3   74.8  151.0  139.4  108.4  197.7  206.4  174.0  160.9   433.6   265.0   398.8   578.0  1724.0
1873  185.1   35.5   90.1   26.3   61.1   58.8  120.0  133.8   91.7  148.8   81.1   56.4   381.5   177.4   312.6   321.7  1088.6
1874  127.3   80.0   94.6   56.0   50.9   31.2   76.1  170.3  132.8  185.5  142.1  111.3   263.7   201.5   277.7   460.4  1258.1
1875  158.8   46.6   38.5   38.7   68.3   99.2  115.0   88.8  145.3  143.7  138.4   77.3   316.6   145.5   303.0   427.4  1158.6
1876   63.9  136.4  112.7   87.6   22.2   77.7   79.8  111.7  135.4  105.0  119.3  185.7   277.6   222.5   269.2   359.7  1237.3
1877  202.3  130.4   94.5   78.8   92.7   78.1  150.5  171.9   99.6  166.4  217.0  127.6   518.3   265.9   400.5   483.0  1609.7
1878  116.4   61.2   61.3   56.5  127.5   92.1   30.3  144.9  128.4  140.5   95.6   77.9   305.2   245.3   267.3   364.5  1132.7
1879   45.4   98.7   69.5   56.3   62.4  140.1  156.7  187.8  114.4   63.8   37.8   82.0   222.0   188.2   484.6   216.0  1114.9
1880   31.2  102.1   67.4   63.2   59.5  100.0  169.1   54.7  112.6  109.2  156.8  172.6   215.3   190.2   323.8   378.6  1198.4
1881   22.8  132.8  112.0   41.9  106.9  102.0  111.5  158.9   65.1   90.1  158.5  130.0   328.2   260.7   372.4   313.8  1232.5
1882  106.7   98.5  103.0  119.6   62.2  142.9  168.3  114.5   77.4  117.5  189.1  136.5   335.1   284.8   425.8   384.0  1436.2
1883  171.0  114.4   53.2   45.8   48.6  101.9   86.8   94.5  158.1  150.2  145.7   99.5   421.9   147.7   283.3   453.9  1269.7
1884  167.5  124.1  102.2   42.8   74.2   35.9  134.1   47.9  100.4   80.1   76.4  147.2   391.0   219.2   217.9   256.8  1132.7
1885   81.9  147.2   81.1   69.5   66.6   64.8   60.1   75.6  150.0  166.9  107.3   58.9   376.3   217.3   200.5   424.1  1129.9
